[00:00] 讓我們掌聲歡迎我們今天的主講者馬克揚老師來跟大家分享
[1:09:11] 那当然造市商实际上他们是非常赚钱的
[1:09:14] 所以他们偶尔送一点钱
[1:09:16] 这个都是无伤大雅的
[1:09:18] 对于他们整体来说是没有问题
[1:09:20] 那像是这个
[1:09:23] 例如说当时这些都是超出跌停范围的put
[1:09:29] 就是读往下的
[1:09:31] 那但是不可能到这么下面的数字
[1:09:33] 那到当天夜盘呢
[1:09:35] 还可以卖到16
[1:09:37] 那像是16的话
[1:09:39] 这个一点是等于50块
[1:09:42] 所以16乘以50的话是800块
[1:09:44] 也就是说
[1:09:45] 这个是不同的这个价值
[1:09:50] 不同的履约价的选择权的POOT
[1:09:55] 然后可以看到很多个不同的履约价
[1:09:57] 都一样
[1:09:59] 在就是有冲高到10块12块16块这样的地方
[1:10:03] 也就是说
[1:10:04] 你可以
[1:10:05] 卖给造势商
[1:10:08] 价值零块就是一定是零块的东西
[1:10:11] 但你可以跟他收可能500块或是800块每一口
[1:10:15] 那当然看你可以按到几口嘛
[1:10:17] 如果你按到20口
[1:10:18] 那可能就是一萬六千塊或是一萬塊這樣
[1:10:23] 好那像這種的話就是屬於這個
[1:10:28] 就是
[1:10:30] 可以等於是沒有風險免費
[1:10:32] 送你錢當然
[1:10:34] 這個你是要放保證金在裡面
[1:10:36] 你才可以
[1:10:37] 下單才可以拿到這個免費的錢嘛
[1:10:41] 那
[1:10:42] 就是很多人會以為
[1:10:44] 股票期貨這個遊戲是
[1:10:46] 低風險就低報酬
[1:10:48] 那高風險就高報酬
[1:10:50] 但實際上這個遊戲
[1:10:52] 顯然不是這樣
[1:10:54] 在一些情況裡面
[1:10:56] 它可以是低風險高報酬
[1:10:58] 那或者甚至是
[1:11:00] 沒有風險但是很高的報酬
[1:11:02] 那當然可能有人會覺得
[1:11:04] 五千塊一萬塊
[1:11:06] 也不是很高的報酬
[1:11:08] 但至少它是沒有風險的
[1:11:11] 那當然那時候
[1:11:13] 我在FB分享這個
[1:11:15] 有股市的前輩就是台鋼
[1:11:19] 他們就是想要講一些安全廢話
[1:11:21] 他們就說這個股市裡面
[1:11:23] 什麼事情都有可能發生
[1:11:25] 我們要保持一個敬畏的心
[1:11:27] 面對這個股市
[1:11:29] 怎麼可以說沒有風險
[1:11:31] 這個都有可能發生
[1:11:33] 當然像是我剛剛說的
[1:11:35] 就是有漲停限制
[1:11:37] 如果前一天是2000
[1:11:39] 那下一天就是沒有辦法跌到1800一下
[1:11:43] 加權指數它可能會有一些尾數的誤差
[1:11:47] 就是有可能可以
[1:11:49] 例如說四萬零幾
[1:11:52] 往下的話可能會比你直接乘以零點九
[1:11:55] 再少個例如說十點二十點
[1:11:58] 因為它是有四十二誤入的
[1:12:00] 但是如果差到一百的話
[1:12:01] 那這個基本上就是不可能達到的數字
[1:12:05] 那就是
[1:12:07] 因為以前確實有發生過選擇權大屠殺
[1:12:10] 但是现在就有动态价格稳定的机制
[1:12:13] 然后就是因为当时
[1:12:16] 等于是说当时有一个游戏规则漏洞
[1:12:19] 然后被选择权大屠杀攻击
[1:12:20] 但是呢
[1:12:21] 现在那个游戏规则已经改变了
[1:12:24] 所以那个漏洞已经不是一个可以被攻击的漏洞
[1:12:26] 再来就是台股仍然有非常多很明显的漏洞
[1:12:31] 例如说一天的涨跌停限制只有10%
[1:12:34] 所以你可以缩涨停
[1:12:36] 然后你缩涨停之后
[1:12:37] 缩人就都买不到股票
[1:12:38] 这个显然是一个非常巨大的漏洞
[1:12:41] 那如果一个有
[1:12:42] 比如说100亿的人
[1:12:44] 他可以去供给
[1:12:46] 就是说张庭
[1:12:47] 然后格日聪
[1:12:48] 这个都是很好的供给的漏洞
[1:12:51] 但是如果他要去
[1:12:53] 把一个一定归零的商品
[1:12:56] 然后硬拉到很高的价格
[1:12:59] 其实他就算打100亿进去
[1:13:01] 他也只是送钱给所有大家
[1:13:03] 就是这个供给还是不会成功
[1:13:06] 然后没有任何好处
[1:13:08] 所以然後另外就是台子相關的商品
[1:13:12] 台子期貨和選擇權在頁盤
[1:13:15] 都是不會被強制品嚐的
[1:13:17] 就是雖然有這個虎視的大前輩
[1:13:21] 他說這個怎麼會是沒有奉獻
[1:13:24] 還是有可能
[1:13:25] 但實際上就是純粹的抬槓
[1:13:27] 而且就是他希望講一個安全廢話
[1:13:31] 但仍然會是錯的
[1:13:32] 就是其實在這個世界上
[1:13:34] 講安全廢話
[1:13:36] 就是AI很喜欢讲安全废话
[1:13:39] 但是AI讲安全废话还是蛮容易是错的
[1:13:44] 因为就是我们毕竟在股市还是有游戏规则的
[1:13:50] 那个游戏规则还是蛮不容易被突破的
[1:13:55] 好那会可以发生这件事情
[1:14:01] 就是因为造势商受规则限制必须要造势
[1:14:05] 那造势商在整个市场里面
[1:14:08] 它会一直在很多流动性
[1:14:11] 不管是流动性好或流动性差的商品里面
[1:14:16] 挂在不好的价钱
[1:14:18] 例如说选择权好了
[1:14:21] 通常你点进去看选择权的尾卖跟尾卖
[1:14:25] 那个价差都是超级大
[1:14:27] 如果你是市价主动去跟造势商成交的话
[1:14:31] 可能都是成交在很不好的价钱
[1:14:33] 所以你可能需要尾卖尾卖差了2%
[1:14:37] 那你把它加起來除以2
[1:14:38] 你去點中間
[1:14:39] 那造勢商還是會跟你一稱交
[1:14:41] 那反正造勢商就是
[1:14:44] 整體來說是非常非常賺錢
[1:14:46] 所以每次發生這種
[1:14:48] 送大家錢的選擇圈的時候
[1:14:50] 他可能就像剛剛那張圖
[1:14:52] 大概送給大家送了2000萬左右
[1:14:55] 那這2000萬
[1:14:57] 可能對他來說也沒多少錢
[1:14:59] 就送大家錢
[1:15:00] 但是就是這個市場沒有那麼有效率
[1:15:06] 还是会有这种送钱的情况
[1:15:08] 但是这些送钱可以被谁捡到
[1:15:10] 就是如果没有学习更多的知识的话
[1:15:14] 就更有可能捡到这些情况
[1:15:16] 好
[1:15:17] 然后我们再讲下一个section
[1:15:24] 下一个主题
[1:15:25] 就是台积电跟加权值数的换算
[1:15:28] 这个也是
[1:15:30] 这一题很重要
[1:15:31] 这题必考
[1:15:32] 这题大家一定要学会
[1:15:34] 算是一个蛮常见的题目
[1:15:38] 這個是在今年的4月27日早上8點49分
[1:15:46] 在期貨剛開盤4分鐘的時候
[1:15:50] 然後當時有一個台積電相關的利多消息
[1:15:55] 就是股市是稍微有一些上漲的
[1:16:00] 然後當時台子期是在4萬點附近
[1:16:05] 然後49分的時候台積電是在這個2360元
[1:16:13] 好 那個時候台紙期是這個上漲了
[1:16:19] 跟前一天收盤比上漲了800點
[1:16:21] 那台積電期貨是上漲了160元
[1:16:25] 那這個其實是一個非常大的差距
[1:16:30] 好 那因為這個提醒啊
[1:16:34] 就是我在FB上應該至少有講過三次
[1:16:38] 那這個
[1:16:40] 知道這個要做什麼的舉手
[1:16:44] 幾乎沒有
[1:16:45] 好
[1:16:46] 那知道台積電一塊錢等於加權指數多少點的舉手
[1:16:54] 好非常好這個超過一半
[1:16:56] 感覺
[1:16:57] 大概有60%的人知道台積電一元是等於加權指數幾點
[1:17:02] 非常好
[1:17:03] 好那只是這個
[1:17:05] 沒關係,待會兒大家都會這一題了
[1:17:08] 然後我們可以在Google看
[1:17:12] 就是Google輸入全職計算機
[1:17:15] 就可以看到各家的全職計算機
[1:17:20] 我們群益也有出全職計算機
[1:17:22] 就是反正你Google輸入全職計算機
[1:17:24] 就可以免費看到這個東西
[1:17:26] 那它可以看到每一天收盤的時候
[1:17:32] 那个各个股票他分别现在是占大盘的几趴
[1:17:37] 那像现在台积电是41趴嘛
[1:17:41] 然后后面是连发科台达电这些
[1:17:43] 那这个现在几乎跑到前面全职的股票
[1:17:49] 全部都是这个标股
[1:17:52] 都是非常强的标股
[1:17:53] 可能鸿海没有那么标
[1:17:56] 所以他的排名下降了
[1:17:59] 那连富邦金都是标股
[1:18:03] 这个不一定是电子股
[1:18:05] 反正呢就是前面的都是标股
[1:18:08] 然后标到很前面
[1:18:09] 真的很猛
[1:18:10] 好
[1:18:11] 那反正呢
[1:18:13] 就是它是有那个权重的嘛
[1:18:16] 那用这个方式你就可以知道
[1:18:18] 每一档股票
[1:18:20] 它今天一块钱是等于加权指数的基点
[1:18:24] 那不只是台积电可以这样算
[1:18:29] 算出它的一块钱是等于加券支出的几点
[1:18:34] 那我们之前也有讲过嘛
[1:18:37] 就是带增发点数的那个策略
[1:18:39] 其他的个股
[1:18:41] 例如说联发科它这个除权席的日期
[1:18:46] 从7月变成了6月
[1:18:48] 那这个会倒成带增发点数一到另外一个月
[1:18:54] 诶 记得这个的举手
[1:18:56] 好 非常非常的细少
[1:18:59] 好 没关系
[1:19:00] 那个也是另外一次演讲有讲过的题目
[1:19:05] 好那我们继续讲这个
[1:19:07] 好那反正台积电是41%嘛
[1:19:10] 那我们要怎么算台积电一元是等于加权指数几点呢
[1:19:14] 就是把加权指数的点数
[1:19:17] 例如说现在如果是
[1:19:18] 现在是45000吧
[1:19:20] 那我们假设是40000点
[1:19:22] 然后乘以大盘的权重
[1:19:24] 例如说是40%
[1:19:25] 那40000乘40%就是16000点嘛
[1:19:29] 那如果現在台積電的股價是兩千
[1:19:31] 那就是一萬六除以兩千
[1:19:34] 那就是等於八
[1:19:35] 那當然可以是有小數點的
[1:19:37] 那以現在的數字就是六月二十五號
[1:19:40] 前天的數字來算的話
[1:19:42] 這個台積電一元是等於加權指數七點九七點
[1:19:47] 那在這段時間呢
[1:19:51] 可能有時候會是
[1:19:53] 這幾年啊可能有到
[1:19:55] 八點三、八點五
[1:19:58] 我是7.8
[1:20:00] 就是它是稍微會浮動的
[1:20:03] 它跟那個股票強弱有關係
[1:20:06] 但我們總是可以用台積電一塊錢
[1:20:10] 等於價錢指數8點來
[1:20:12] 1比8來做一個粗略的估算
[1:20:14] 因為其實就是我們需要做的事情不是估算到
[1:20:19] 就是至少在這一題裡面
[1:20:20] 是不需要估算到那麼精準的
[1:20:23] 好 那所以這個
[1:20:26] 在期貨開完4分鐘之後
[1:20:28] 台子期加800點
[1:20:30] 台積電期貨加160元
[1:20:34] 那台積電期貨加160元
[1:20:36] 就是我們應該把它乘以8嘛
[1:20:38] 那這個一個乘法的小技巧就是
[1:20:42] 16是2的密次嘛
[1:20:43] 8也是2的密次
[1:20:44] 所以它乘起來應該會是在
[1:20:47] 100多的2的密次的數字
[1:20:49] 所以應該是1280
[1:20:51] 然後這樣的話你就不需要真的乘那個數字
[1:20:54] 好 但是這不重要
[1:20:55] 就是一个惩罚的技巧
[1:20:56] 那你可以知道
[1:20:59] 如果台积电期多了160元
[1:21:02] 那如果台积电现货也是多160元的话
[1:21:04] 那大盘就是要因此增加1280点
[1:21:08] 那台积电是占大盘的40%左右
[1:21:13] 41%
[1:21:14] 那40%的台积电
[1:21:18] 全重40%的台积电
[1:21:20] 贡献了正1280点的话
[1:21:23] 等于其他的60%的股票
[1:21:28] 全重加起来
[1:21:30] 其他60%要贡献-480点
[1:21:33] 才能够让这个价差
[1:21:36] 真的正确的被维持住
[1:21:38] 也就是说这个价差是
[1:21:39] 很不容易维持住的
[1:21:41] 好 那讲到这边
[1:21:44] 大家知道这一题要做什么
[1:21:47] 举手
[1:21:48] 好 非常好
[1:21:51] 这样已经大概
[1:21:52] 我觉得应该有500个人知道要做什么
[1:21:56] 是非常非常不错
[1:21:58] 所以原本如果在这边的时候
[1:22:02] 刚刚是完全没有人举手
[1:22:04] 不知道这一题要做什么
[1:22:05] 但是我们只讲了一点点
[1:22:08] 我们就知道要做什么
[1:22:10] 所以这一题大家是有明显的进步
[1:22:13] 有学会新的东西
[1:22:17] 好 那所以就是如果要维持住价差的话
[1:22:20] 就是台值加的太少了
[1:22:22] 所以虽然它是一个出现了一个跟台积电有关的可能的利多的消息
[1:22:32] 但是呢我们要做的事情是空台积电起货
[1:22:37] 然后做多台子期
[1:22:39] 然后做明目价值相等的组合单
[1:22:43] 让他们的价格收点
[1:22:45] 好那这个明目价值怎么计算呢
[1:22:51] 大家知道吗
[1:22:52] 知道明目价值怎么计算的举手
[1:22:54] 哈 这么少 怎么会这样
[1:22:57] 那大家 咦 那大家几乎都没有交易过期货吗
[1:23:02] 很少人知道 这么少人知道明目价值怎么算
[1:23:05] 好 明目价值就是说
[1:23:07] 你持有的那个期货等于是持仓价值多少
[1:23:11] 例如说 如果台纸是4万点
[1:23:14] 那围台一点是10块
[1:23:17] 那你持仓一口围台就是4万点乘以10块
[1:23:21] 如果你跌到零点
[1:23:23] 就是台股的大盘直接跌到零的话
[1:23:26] 你总共会亏40万
[1:23:28] 这个就是明目价值
[1:23:30] 你总共持有的东西
[1:23:31] 那如果你是持有一口小台
[1:23:35] 50块乘以4万点的话
[1:23:37] 一口小台明目价值就是200万
[1:23:40] 那如果是大台200块1点
[1:23:45] 然后乘以4万点的话
[1:23:47] 那一口明目价值就是800万
[1:23:50] 拿到四萬五的時候就會
[1:23:52] 一口名物價值就會變成九百萬
[1:23:54] 所以現在一口大台的名物價值是非常高
[1:23:57] 如果你是持倉十口大台
[1:23:59] 實際上你的名物價值就是持倉九千萬
[1:24:04] 所以雖然你需要按的保證金好像非常少
[1:24:07] 但是實際上你的持倉是非常巨大的
[1:24:11] 就是大家還是要知道
[1:24:13] 如果你是用原始保證金去按的話
[1:24:16] 你是按多大的槓桿
[1:24:18] 例如說這邊
[1:24:20] 如果你是要做多台子期
[1:24:24] 然後空台積電期貨
[1:24:27] 台積電期貨那時候是2350
[1:24:30] 大概一口台積電期貨
[1:24:33] 大口的話一口是2000股
[1:24:36] 小型的話一口是100股
[1:24:39] 如果你是按大的話
[1:24:42] 大概是2300乘以2000
[1:24:46] 所以一口大概是460萬左右
[1:24:50] 那大概是等於兩小台
[1:24:51] 也就是說你要按兩小台的台子期多單
[1:24:55] 加空一口台積電的期貨
[1:24:59] 那這樣的話大致上明目價值是非常接近的一個組合單
[1:25:03] 好 所以這題的答案就是要這樣做
[1:25:07] 好 然後這個價格後來就收斂了
[1:25:10] 台子這邊 在這張圖裡面跟原本幣
[1:25:14] 台子期大概就上涨了100点
[1:25:18] 然后台积电期货往下了50块
[1:25:21] 那当然不一定会是你的一空组合单都赚钱
[1:25:27] 可以是它就都一起下跌了或一起上涨了
[1:25:31] 那至少赚钱的那个会比亏钱的那个更多
[1:25:35] 因为你的明目价值是大致上相等的
[1:25:38] 好那这个
[1:25:43] 这一题应该大部分人都听得懂
[1:25:46] 因为刚刚讲到一半的时候
[1:25:49] 大部分人就是举手已经会了
[1:25:51] 所以现在应该大家都会了
[1:25:53] 好那这个是这个工商的时间
[1:25:56] 就是如果群一期货
[1:25:58] 只有一股就可以领一千块
[1:26:00] 所以呢大家可以去领一股
[1:26:03] 然后就是可以
[1:26:05] 好其实我不知道怎么弄
[1:26:06] 反正应该是很不错这样子
[1:26:11] 好我下礼拜研究一下怎么弄
[1:26:13] 我自己还没按
[1:26:14] 好
[1:26:17] 然后
[1:26:17] 这个交易者三元素
[1:26:21] 就是数学逻辑资金跟情绪控制
[1:26:25] 如果你要做到一个好的交易者的话
[1:26:29] 那大致上是需要这三个要素
[1:26:32] 然后呢
[1:26:33] 我把它取一个名字叫Trader's Triad
[1:26:36] 就是Trader's Triad的感觉
[1:26:39] 有一种押韵的感觉
[1:26:40] 而且那个通常啊
[1:26:42] 我们在医学上说什么什么
[1:26:44] 然后三个什么
[1:26:45] 我們都會說什麼什麼Tri-Aid
[1:26:47] 所以Trader's Tri-Aid就有一種押韻的感覺
[1:26:52] 只是解釋為什麼我這樣子取那個名字
[1:26:58] 好那Trader's Tri-Aid就是
[1:27:00] 這個資金遊戲策略跟情緒控制
[1:27:04] 也就是說如果你要在金錢遊戲裡面賺錢
[1:27:07] 你要做到的事情就是
[1:27:10] 你有資金
[1:27:11] 然後有一個賺錢的遊戲策略
[1:27:14] 然后你稳定的执行这个游戏策略
[1:27:17] 那你就会在数学游戏里面赚钱
[1:27:21] 好那我们刚刚讲嘛
[1:27:23] 就是如果是太小资金的人
[1:27:25] 可以还不需要学习投资
[1:27:26] 先提升专业能力
[1:27:28] 就是增加月收入
[1:27:30] 然后降低自己金钱的财务情况的脆弱性
[1:27:35] 然后再来是这个游戏策略
[1:27:41] 是要有数学跟逻辑的根据
[1:27:43] 那不是说它是一个共识
[1:27:46] 可能是它是一个口诀
[1:27:48] 这个买绿不买红
[1:27:52] 买蝶不买长
[1:27:53] 就类似这样
[1:27:54] 就它不是说什么一个
[1:27:56] 或者说有一个权威
[1:27:59] 就是一个人他说
[1:28:01] 这样子很不错
[1:28:02] 所以这就是我希望
[1:28:04] 我在教各种东西
[1:28:07] 不只是教股票期货
[1:28:09] 我教补习班数学
[1:28:11] 我教21点
[1:28:12] 我教各式各样的东西
[1:28:14] 我都会从非常底层的基础的东西
[1:28:19] 来把整个推导过程讲给大家听
[1:28:22] 那就是让大家
[1:28:25] 如果你是能够听得懂
[1:28:29] 那个逻辑链条的话
[1:28:30] 你可以知道你做这件事情
[1:28:33] 它真的是对的
[1:28:35] 而且它对的原因是因为
[1:28:38] 他事实上在这个
[1:28:40] 就是他事实上是对的
[1:28:43] 而不是说因为老师教了
[1:28:46] 所以我相信老师
[1:28:48] 那所以是对的
[1:28:50] 那这个是不一样的嘛
[1:28:52] 就是如果你做一个决定是
[1:28:56] 因为这是老师说的的话
[1:28:59] 你还是会很容易学到错误的知识
[1:29:03] 那但是如果你学一个东西是
[1:29:05] 你真的从底层逻辑
[1:29:07] 一路推倒过来
[1:29:08] 你知道这件事情真的是对的
[1:29:10] 的话
[1:29:11] 你会更容易一直学到正确的知识来进步
[1:29:16] 所以为什么我在各个领域成为大师的方法里面
[1:29:25] 也有讲到
[1:29:28] 如果你的目标是在一个领域里面成为
[1:29:33] 那个领域的顶尖一趴的人
[1:29:35] 其实这是非常简单的
[1:29:37] 因为就是大部分的人都是没有参与大部分的领域
[1:29:41] 所以一个领域参加的人可能其实非常少
[1:29:44] 你要成为前一趴
[1:29:46] 其实那个人数还是非常非常多的
[1:29:49] 但是至少呢
[1:29:51] 你要只跟顶尖的大师学习
[1:29:56] 你可以是看影片
[1:29:58] 看顶尖的网球选手是怎么打网球的
[1:30:00] 或者是看这个扑克牌选手
[1:30:03] 他们这个是怎么分析这些事情的
[1:30:06] 但是你不要跟
[1:30:08] 可能他只是顶尖一趴的人
[1:30:12] 但他不是顶尖的职业选手
[1:30:14] 他就只是前一趴
[1:30:15] 那前一趴的人他会的
[1:30:18] 他教你的东西可能
[1:30:20] 十句话里面有九句是对的
[1:30:22] 但有一句是错的
[1:30:23] 可是他也不是骗你
[1:30:25] 就他真的没有那个正确的概念
[1:30:27] 也就是说
[1:30:28] 你每学到十句话
[1:30:31] 就有学到一句话是错的
[1:30:32] 那你就会吸收到很多错误的知识
[1:30:34] 或者是说至少跟现在人类可以做到的顶尖程度
[1:30:39] 还是有一定的差距
[1:30:40] 那这样的话当然就比较不好
[1:30:42] 好
[1:30:43] 这个PGT又有点讲太久了
[1:30:47] 反正呢
[1:30:48] 这个章节主要要讲的是第三个
[1:30:50] 就是情绪控制精神力等级
[1:30:53] 也就是说每一个人
[1:30:54] 他都有自己可以做到的下注尺度的上限
[1:30:59] 那如果你超过了这个精神力等级
[1:31:02] 就是下注尺度的上限的话
[1:31:03] 你就没有办法正确的执行
[1:31:06] 你原本设计想要执行的游戏策略了
[1:31:09] 好 那每个人都有精神力等级的上限
[1:31:14] 那精神力等级就是
[1:31:17] 你能够稳定执行策略的下注尺度的上限
[1:31:20] 那很多人会以为决定下注尺度
[1:31:26] 是要用凯利公式来决定下注尺度
[1:31:29] 但是正常人精神力等级是
[1:31:31] 远远低于凯利公式的建议
[1:31:34] 凱利公式的建议是让你的资产可以最快速的不停的翻倍
[1:31:39] 但是在这个过程当中你会有很多次
[1:31:44] 可能你有1000万
[1:31:46] 然后经过几笔交易之后
[1:31:50] 你的资产就下降到只剩400万
[1:31:52] 那1000万变成400万
[1:31:54] 这个可能不是大部分人心里可以承受的亏损
[1:32:03] 或者说波动
[1:32:05] 那有可能他就会急着想要赚回来
[1:32:09] 所以去做很奇怪的事
[1:32:12] 去做一些负期望值的下单
[1:32:14] 然后反而你的正期望值策略
[1:32:17] 配上你的乱搞
[1:32:18] 就变成一个整体负期望值的策略
[1:32:21] 那可能就会是亏钱的
[1:32:23] 那例如说
[1:32:24] 有一个正确的策略
[1:32:29] 常见正确的策略就是
[1:32:31] 如果你长期的买进美股或台股的大盘
[1:32:35] 可以是0050可以是SP500
[1:32:38] 然后你设定好
[1:32:41] 你在65岁退休的时候才会卖掉
[1:32:43] 那例如说你现在是25岁
[1:32:46] 你设定好你40年之内就是不卖
[1:32:49] 就是你退休才会卖掉
[1:32:51] 那这个会是一个正期望值的策略
[1:32:53] 因为股市在40年之后
[1:32:56] 市上涨的几率是超过99%
[1:33:00] 但是可能你在經過了某一次的大漲或大跌之後
[1:33:06] 你就覺得怎麼突然爆發了一個戰爭
[1:33:11] 或是突然發生了什麼事情
[1:33:13] 或是突然漲這麼多
[1:33:15] 好像已經達到了我的目標
[1:33:16] 你就把它賣掉
[1:33:17] 如果你在這個遊戲過程中會提早把它賣掉的話
[1:33:22] 你就破壞了你原本想要做的事情
[1:33:25] 可能你這個正期望值的策略
[1:33:27] 就變成一個負期望值的策略
[1:33:29] 那這個原因其實就是因為
[1:33:32] 你的下注尺度下得太大了
[1:33:34] 超過你的精神力等級能夠承受的等級
[1:33:37] 例如說如果你是買一股好了
[1:33:40] 你就放了100塊進去
[1:33:42] 那你要把它放到65歲
[1:33:43] 你幾乎是做得到嘛
[1:33:45] 你不太會因為說爆發了一場戰爭
[1:33:48] 你就趕快把你的100塊賣掉對吧
[1:33:50] 也就是說
[1:33:51] 如果你下注尺度小到一定的等級
[1:33:55] 你一定是可以做到
[1:33:56] 但是如果你下的是
[1:33:58] 1000亿那你可能就是无法承受
[1:34:01] 很快赚个2亿3亿
[1:34:03] 你就想要把它停利了
[1:34:05] 那也就是说
[1:34:06] 你的精神意义等级一定是存在的
[1:34:08] 它是在一块钱到1000亿之间的
[1:34:11] 某一个数字它一定存在
[1:34:12] 那你需要寻找的就是
[1:34:14] 你自己真的可以做到
[1:34:17] 稳定正确执行策略的下注次度是多少
[1:34:21] 那当然它是由这个
[1:34:23] 就是一个科学化的方式
[1:34:26] 能够找到一个具体的数字
[1:34:28] 这个也是我的演讲
[1:34:31] 或者是课程都有教的
[1:34:32] 其实我以前的演讲也有讲过
[1:34:34] 好
[1:34:36] 那当然下注太小的话
[1:34:38] 就是成效会很低落
[1:34:41] 例如说你执行存股的策略
[1:34:43] 然后你就存了一千块
[1:34:45] 然后放到你退休的时候
[1:34:47] 它成功变成了两千块
[1:34:49] 你就赚了一千块
[1:34:51] 那这样当然成效不脏
[1:34:53] 但如果你下注太大的话
[1:34:55] 例如说你放了100亿进去
[1:34:58] 那你可能称不到它变成200亿的时候
[1:35:01] 你赚个3亿5亿才赚3%5%
[1:35:04] 你就觉得不行不行要跑了要跑了
[1:35:07] 那这样的话当然也是不行的
[1:35:09] 所以你不能下得太小
[1:35:11] 也不能下得太大
[1:35:13] 那所以我们就是要用一个科学化的方式
[1:35:18] 寻找自己的这个下注次度
[1:35:21] 然后好
[1:35:24] 所以就是我制定了一套
[1:35:26] 科学化的情绪管理制度
[1:35:28] 让大家可以做到
[1:35:29] 你在你自己的精神力等级附近下单
[1:35:35] 然后尽量的避免你下到on tilt
[1:35:38] 但其实呢
[1:35:40] 所有人都一定会on tilt
[1:35:42] 就是下到上头烧皮
[1:35:44] 那发生上头烧皮的时候
[1:35:47] 一定要启动什么样的机制
[1:35:50] 那让你要做什么样的事情
[1:35:52] 可以让你不会的继续亏损
[1:35:55] 一定会玩到生气
[1:35:56] 这个是一定会的
[1:35:58] 那你玩到生气的情况下
[1:36:00] 应该要做什么事
[1:36:01] 让你不要继续亏更多的钱
[1:36:04] 那这个也是需要一套
[1:36:06] 风险控制的机制的
[1:36:08] 那这些其实就是
[1:36:11] 也都是非常重要的
[1:36:13] 就是它应该是在你开始交易前
[1:36:16] 就制定的一套明确的制度
[1:36:19] 而不是说
[1:36:21] 我看一些安全废话说
[1:36:23] 你要控制自己的情绪
[1:36:26] 你要避免贪嗔痴
[1:36:30] 你要想办法不要贪
[1:36:33] 要战胜你的心魔
[1:36:35] 像这种安全废话
[1:36:37] 其实就跟说
[1:36:38] 你考试的时候会写的
[1:36:40] 一定要写对
[1:36:41] 不要粗心
[1:36:43] 可是这个建议
[1:36:44] 真的会对他的考试成绩
[1:36:46] 有任何帮助吗
[1:36:47] 肯定没有
[1:36:48] 难道他是故意的粗心吗
[1:36:51] 肯定也不是
[1:36:53] 以我的经验来说
[1:36:58] 在台湾的中产阶级年轻男性
[1:37:04] 大概可以到的声像级制度的登基
[1:37:09] 我自己定的Marks Level是说
[1:37:13] 如果你可以持仓一大台的话
[1:37:16] 大概就是一等
[1:37:18] 两大台的话是两等
[1:37:20] 那台湾的年轻中产男性大概可以到的level大概就是三等四等左右
[1:37:28] 那这个跟道德没有关系
[1:37:30] 就是精神力等级最有关的事情是你的总资产
[1:37:38] 就是你的总资产越大
[1:37:40] 你可以持仓的这个口数就是越大
[1:37:44] 那我之前也有讲过嘛
[1:37:47] 我曾经有交过一个期货的徒弟
[1:37:50] 他在一开始学期货的第一个月
[1:37:54] 他就可以稳定地执行40大台
[1:37:58] 然后看他的交易记录
[1:37:59] 他完全都是有纪律地按照策略在执行
[1:38:07] 然后很快可能一个月就赚了300多万
[1:38:11] 那时候他第一个月就是按40大台
[1:38:17] 所以他是40等
[1:38:18] 然后那时候我是20等
[1:38:19] 所以他是徒弟第一天就是师父等级的两倍
[1:38:24] 这个是很有可能发生的
[1:38:26] 那因为他是富二代
[1:38:27] 他家非常的有钱
[1:38:29] 那所以对他来说
[1:38:31] 这个一天的损益一百万
[1:38:34] 两百万三百万
[1:38:35] 其实就是对他来说是
[1:38:38] 至少不会影响他的情绪
[1:38:41] 就他觉得这个游戏
[1:38:42] 这样按起来蛮有趣的
[1:38:44] 那对他来说也是不会承受太高的风险
[1:38:48] 那这个是很有可能的
[1:38:51] 那这个就是精神力等级
[1:38:54] 你是一等三等零点五等
[1:38:57] 都不是说因为我是一个道德很高的人
[1:39:01] 我很会控制自己的心魔
[1:39:03] 所以我四十等
[1:39:04] 我真的是修为真的修养很好
[1:39:08] 那就是因为很怕的是
[1:39:14] 大家会觉得
[1:39:16] 你说银行的信用
[1:39:18] 这个信用这个词
[1:39:20] 精神力等级
[1:39:21] 情绪控制
[1:39:22] 这些词语
[1:39:23] 大家会太容易联想到
[1:39:26] 跟自己是不是一个很棒的人
[1:39:28] 有关系
[1:39:30] 那这个就会有一点危险
[1:39:31] 因为如果你高估自己的信用
[1:39:35] 高估自己的精神力等级的话
[1:39:37] 有可能你就会去下一个
[1:39:40] 你实际上没有办法做到的单
[1:39:42] 然后蒙受很大的亏损
[1:39:44] 那但是在玩游戏的过程当中
[1:39:47] 就是这些游戏
[1:39:49] 我们都是要百分之百对自己负责
[1:39:52] 对结果负责的
[1:39:54] 那这个跟上班是不一样的
[1:39:56] 有可能你上班
[1:39:57] 你搞砸了一个专案
[1:39:59] 那个其实是亏老板的钱
[1:40:01] 那你大不了就被骂一骂
[1:40:02] 其实也不会怎样
[1:40:04] 但是在股票期货这个游戏里面
[1:40:07] 它跟工作不一样
[1:40:08] 它是你百分之百要对自己负责
[1:40:11] 如果這個賺錢你會拿到錢
[1:40:13] 虧錢的話你也是會虧錢的
[1:40:15] 所以就是我需要提醒就是大家
[1:40:20] 要正確的評估自己
[1:40:22] 不要低估也不要高估
[1:40:23] 這個是很重要的
[1:40:27] 好 那我剛說到那個就是
[1:40:31] 如果是台灣的中產階級男性
[1:40:34] 大概三到四等
